lat,lon,wind_value,year,month
59.5,67.5,11,2021,апрель
59.5,67.75,11,2021,апрель
59.5,68,12.2,2021,апрель
59.5,68.25,12.4,2021,апрель
59.5,68.5,13,2021,апрель
59.5,68.75,13.6,2021,апрель
59.5,69,13.8,2021,апрель
59.5,69.25,14.6,2021,апрель
59.5,69.5,13.8,2021,апрель
59.5,69.75,14,2021,апрель
59.5,70,13,2021,апрель
59.5,70.25,12.6,2021,апрель
59.5,70.5,12,2021,апрель
59.5,70.75,11.6,2021,апрель
59.5,71,12.6,2021,апрель
59.5,71.25,13,2021,апрель
59.5,71.5,13.2,2021,апрель
59.5,71.75,12.6,2021,апрель
59.5,72,12,2021,апрель
59.5,72.25,12,2021,апрель
59.5,72.5,10,2021,апрель
59.5,72.75,10.8,2021,апрель
59.5,73,10.8,2021,апрель
59.5,73.25,11.8,2021,апрель
59.5,73.5,12.4,2021,апрель
59.5,73.75,12.6,2021,апрель
59.5,74,12,2021,апрель
59.5,74.25,13.4,2021,апрель
59.5,74.5,13.6,2021,апрель
59.5,74.75,14.4,2021,апрель
59.5,75,14.2,2021,апрель
59.5,75.25,12.4,2021,апрель
59.5,75.5,11.8,2021,апрель
59.5,75.75,11.6,2021,апрель
59.5,76,12.8,2021,апрель
59.5,76.25,11.8,2021,апрель
59.5,76.5,10.4,2021,апрель
59.5,76.75,9,2021,апрель
59.5,77,8.4,2021,апрель
59.5,77.25,8.8,2021,апрель
59.5,77.5,9.8,2021,апрель
59.5,77.75,10.6,2021,апрель
59.5,78,11.6,2021,апрель
59.5,78.25,13,2021,апрель
59.5,78.5,9.8,2021,апрель
59.5,78.75,8.8,2021,апрель
59.5,79,11.4,2021,апрель
59.5,79.25,13.4,2021,апрель
59.5,79.5,13.8,2021,апрель
59.5,79.75,15.8,2021,апрель
59.5,80,15.2,2021,апрель
59.5,80.25,14.8,2021,апрель
59.5,80.5,13.8,2021,апрель
59.5,80.75,14.4,2021,апрель
59.5,81,13.4,2021,апрель
59.5,81.25,13.4,2021,апрель
59.5,81.5,13.6,2021,апрель
59.5,81.75,13.8,2021,апрель
59.5,82,14.8,2021,апрель
59.5,82.25,15.8,2021,апрель
59.5,82.5,15,2021,апрель
59.5,82.75,15.2,2021,апрель
59.5,83,15.2,2021,апрель
59.5,83.25,14,2021,апрель
59.5,83.5,14.2,2021,апрель
59.5,83.75,14.6,2021,апрель
59.5,84,13.8,2021,апрель
59.5,84.25,13.8,2021,апрель
